이름,현제가,변동,최고가,최저가,거래다금
"비트코인
BTC/KRW
11,725,000
7.31%
11,950,000
10,922,000
103억 KRW"
"비트코인 BULL
BTCBULL/KRW
4,534,000
24.08%
4,779,000
3,622,000
42억 KRW"
"비트코인 BEAR
BTCBEAR/KRW
2,230
-25.54%
3,025
2,085
33억 KRW"
"이더리움
ETH/KRW
245,600
6.04%
248,000
231,600
21억 KRW"
"리플
XRP/KRW
247.2
2.53%
248.9
240.9
9억 KRW"
"비트코인 HEDGE
BTCHG/KRW
1,165,000
-8.98%
1,282,000
1,140,000
3억 KRW"
"이오스
EOS/KRW
3,079
3.36%
3,100
2,973
3억 KRW"
"비트코인 캐시
BCH/KRW
293,300
3.02%
295,800
284,200
2억 KRW"
"스텔라 루멘
XLM/KRW
83.70
-0.48%
85.70
83.00
7,789만 KRW"
"림포
LYM/KRW
5.000
42.82%
6.300
3.501
3,355만 KRW"
"이더리움 HEDGE
ETHHG/KRW
1,446,000
-6.77%
1,551,000
1,423,000
2,918만 KRW"
"이오스 HEDGE
EOSHG/KRW
2,719,000
-4.53%
2,851,000
2,693,000
2,458만 KRW"
"질리카
ZIL/KRW
10.52
3.14%
11.50
9.925
2,340만 KRW"
"라이트코인
LTC/KRW
53,000
2.91%
56,950
51,500
1,882만 KRW"
"리플 HEDGE
XRPHG/KRW
5,772,000
-3.86%
6,011,000
5,772,000
833만 KRW"
"테라 KRT
KRT/KRW
0.9950
-0.50%
1.000
0.9950
698만 KRW"
"비트코인 캐시 HEDGE
BCHHG/KRW
4,249,000
-2.23%
4,372,000
4,249,000
459만 KRW"
"신디케이터
CND/KRW
8.500
13.33%
8.500
5.615
310만 KRW"
"엔진코인
ENJ/KRW
180.0
-11.33%
211.0
180.0
282만 KRW"
"엘프
ELF/KRW
76.80
-7.69%
83.75
76.80
201만 KRW"
"헌트
HUNT/KRW
2.800
19.15%
2.900
2.320
200만 KRW"
"크립토닷컴코인
CRO/KRW
72.65
-9.36%
84.95
65.90
184만 KRW"
"스테이터스 네트워크
SNT/KRW
37.00
-0.27%
42.30
34.00
171만 KRW"
"브이엔엑스엘유
VNXLU/KRW
333.0
-2.26%
343.0
333.0
150만 KRW"
"이니그마
ENG/KRW
300.0
33.45%
300.0
175.6
130만 KRW"
"스팀
STEEM/KRW
201.1
-2.33%
210.4
200.9
106만 KRW"
"퀀텀
QTUM/KRW
1,817
1.40%
1,817
1,791
85만 KRW"
"오미세고
OMG/KRW
1,024
16.10%
1,024
881.0
81만 KRW"
"시빅
CVC/KRW
27.00
12.45%
27.00
24.01
60만 KRW"
"홀로
HOT/KRW
0.6590
8.03%
0.6590
0.5610
60만 KRW"
"이오스트
IOST/KRW
4.493
4.37%
4.493
4.201
55만 KRW"
"아르고
AERGO/KRW
27.49
9.87%
27.49
24.20
32만 KRW"
"스팀달러
SBD/KRW
1,114
0%
1,511
1,114
25만 KRW"
"루나
LUNA/KRW
234.3
-0.04%
234.4
219.9
24만 KRW"
"골렘
GNT/KRW
51.00
-7.44%
55.10
47.60
20만 KRW"
"제로엑스
ZRX/KRW
479.1
41.83%
479.1
337.8
17만 KRW"
"캐시
QASH/KRW
43.09
11.26%
43.09
36.81
12만 KRW"
"아라곤
ANT/KRW
1,007
-32.87%
1,500
1,003
12만 KRW"
"크립토닷컴
MCO/KRW
6,845
6.95%
6,845
5,935
9만 KRW"
"카이버 네트워크
KNC/KRW
708.0
0.43%
708.0
705.0
9만 KRW"
"오리진 토큰
OGN/KRW
202.3
0%
238.2
202.3
6만 KRW"
"리퀘스트 네트워크
REQ/KRW
11.30
-37.12%
19.44
11.20
5만 KRW"
"모비우스
MOBI/KRW
3.600
4.90%
3.726
3.432
4만 KRW"
"제트캐시
ZEC/KRW
37,510
-26.67%
51,800
36,900
4만 KRW"
"휴먼스케이프
HUM/KRW
5.305
-3.46%
5.595
5.270
4만 KRW"
"베이직어텐션토큰
BAT/KRW
232.3
-9.08%
255.5
232.2
3만 KRW"
"메이커
MKR/KRW
400,000
0%
794,000
320,200
3만 KRW"
"AI네트워크
AIN/KRW
24.00
-18.34%
29.39
24.00
1만 KRW"
"룸 네트워크
LOOM/KRW
19.19
-2.39%
19.66
16.81
1만 KRW"
"노시스
GNO/KRW
17,060
0.12%
17,060
17,040
1만 KRW"
"어거
REP/KRW
12,000
0%
12,010
12,000
7,854 KRW"
"퀀트스탬프
QSP/KRW
8.830
0%
8.830
8.830
4,933 KRW"
